datestamp,market,quantity,trade,open,close,pnl
06/04/2016 11:00,UK 100 DFT,1,1,6120.5,6123.5,-3
06/04/2016 10:40,UK 100 DFT,1,0,6112,6120.5,8.5
06/04/2016 10:27,UK 100 CFD,1,0,6116.5,6121.5,5
06/04/2016 09:10,Wall Street CFD,1,1,17619.6,17659.8,-28.59
06/04/2016 09:10,UK 100 DFT,1,1,6087.7,6118.5,-30.8
05/04/2016 17:30,Wall Street CFD,1,0,17645.5,17619.6,-18.4
05/04/2016 17:00,Wall Street CFD,1,1,17657.6,17644.3,9.35
05/04/2016 17:00,UK 100 DFT,1,0,6064.3,6086.5,22.2
05/04/2016 14:30,Wall Street CFD,1,1,17613,17631.4,-13.03
05/04/2016 14:00,Wall Street CFD,1,0,17622.9,17613,-7.01
05/04/2016 08:00,Wall Street CFD,1,0,17690.8,17662.9,-19.7
05/04/2016 07:30,Wall Street CFD,1,1,17675.6,17690.8,-10.73
05/04/2016 06:30,Wall Street CFD,1,0,17715.5,17675.5,-28.23
04/04/2016 22:00,Wall Street CFD,1,0,17733.2,17729,-2.96
04/04/2016 21:30,Wall Street CFD,1,1,17765.5,17733.1,22.59
04/04/2016 18:30,Wall Street CFD,1,0,17778.5,17765.5,-9.15
04/04/2016 17:30,Wall Street CFD,1,1,17820.1,17778.5,28.98
04/04/2016 13:00,Wall Street CFD,1,0,17807,17819,8.37
04/04/2016 09:45,UK 100 CFD,1,0,6094.2,6167.9,73.7
04/04/2016 09:45,UK 100 CFD,1,0,6094.1,6167.9,73.8
04/04/2016 09:00,Wall Street CFD,1,1,17791.3,17807.1,-11.17
04/04/2016 06:30,Wall Street CFD,1,0,17798.1,17791.1,-4.95
04/04/2016 04:00,Wall Street CFD,1,1,17785.8,17798.1,-8.68
04/04/2016 03:00,Wall Street CFD,1,0,17790.6,17785.8,-3.39
04/04/2016 01:30,Wall Street CFD,1,1,17774.2,17790.6,-11.58
03/04/2016 23:30,Wall Street CFD,1,0,17749.6,17774.2,17.21
01/04/2016 18:30,Wall Street CFD,1,1,17715.4,17749.6,-24.18
01/04/2016 18:00,Wall Street CFD,1,0,17637.9,17715.4,54.23
01/04/2016 13:26,Wall Street CFD,1,1,17641.5,17637.8,2.57
29/03/2016 17:23,Wall Street CFD,1,0,17501.9,17570.5,47.52
22/03/2016 09:27,Germany 30 DFT,1,0,9858.2,9849.6,-8.6
22/03/2016 09:27,Germany 30 DFT,1,0,9847.3,9849.6,2.3
22/03/2016 09:24,Germany 30 DFT,1,1,9856.5,9853.6,2.9
17/03/2016 13:10,UK 100 DFT,200,0,6149,6148.1,-180
17/03/2016 13:09,Barclays (UK) CFD COMMISSION CHARGE,,,160.2,,-35.24
17/03/2016 13:09,Barclays (UK) CFD,22000,0,160.335,160.2,-29.7
17/03/2016 13:09,UK 100 CFD,1,1,6172.5,6150.5,22
17/03/2016 13:09,Barclays (UK) CFD COMMISSION CHARGE,,,160.335,,-35.27
16/03/2016 14:08,Germany 30 DFT,5,1,9926.8,9967.5,-203.5
16/03/2016 14:08,UK 100 CFD,1,1,6144.5,6170.5,-26
16/03/2016 14:08,UK 100 CFD,1,0,6141.8,6169.5,27.7
16/03/2016 14:08,Wall Street CFD,1,0,17172.5,17239.4,47.29
16/03/2016 14:08,Wall Street CFD,1,0,17210.6,17239.9,20.71
11/03/2016 15:52,Wall Street CFD,1,0,17144.9,17169.5,17.03
11/03/2016 15:52,Wall Street CFD,1,0,17145.1,17169.5,16.89
11/03/2016 15:52,UK 100 DFT,20,1,6132.3,6129.3,60
11/03/2016 15:17,EUR/USD (per 0.0001) CFD,2,0,1.11091,1.11531,60.95
10/03/2016 09:42,UK 100 CFD,1,0,6130.5,6130.5,0
10/03/2016 09:42,Wall Street CFD,1,0,17012.9,17011.3,-1.13
07/03/2016 14:36,Wall Street CFD,1,1,16933.5,16971,-26.61
07/03/2016 13:56,UK 100 CFD,1,0,6121,6125.6,4.6
25/02/2016 21:00,UK 100 DFT,1,0,5964,6050.4,86.4
24/02/2016 17:21,UK 100 DFT,1,0,5894.5,5901.3,6.8
24/02/2016 17:21,UK 100 DFT,1,0,5881,5901.3,20.3
24/02/2016 15:53,UK 100 DFT,1,0,5854,5853.3,-0.7
24/02/2016 14:38,Germany 30 CFD,1,0,9188.5,9184.4,-3.25
24/02/2016 14:18,Germany 30 CFD,1,0,9204.9,9191.7,-10.45
